R;G;B
161;152;137
163;154;138
166;156;142
166;157;141
158;150;133
143;145;143
157;152;149
148;143;136
152;147;136
150;145;134
147;142;132
158;153;146
155;148;140
128;124;118
159;153;146
164;159;151
152;145;140
159;154;147
158;152;146
154;149;144
154;149;144
162;155;150
158;152;147
157;153;146
157;152;144
158;156;150
159;154;147
159;152;146
162;157;149
163;159;148
159;154;148
155;149;144
146;141;135
161;157;147
165;157;149
165;160;151
160;156;146
162;157;149
142;134;128
155;149;143
160;154;147
156;149;143
162;157;153
163;156;152
162;157;150
158;153;148
158;152;148
152;145;138
164;157;150
150;145;135
154;150;140
